level,canton,number,abbr_de,abbr_fr,abbr_it,aliases,title_de
federal,,0.101,EMRK,CEDH,CEDU,CEDH|CEDU|EMRK,Konvention vom 4. November 1950 zum Schutze der Menschenrechte und Grundfreiheiten (EMRK)
federal,,0.142.112.681,FZA,ALCP,ALC,ALC|ALCP|FZA,"Abkommen vom 21. Juni 1999 zwischen der Schweizerischen Eidgenossenschaft einerseits und der Europäischen Gemeinschaft und ihren Mitgliedstaaten andererseits über die Freizügigkeit (mit Anhängen, Prot. und Schlussakte)"
federal,,0.142.30,FK,,,FK,Abkommen vom 28. Juli 1951 über die Rechtsstellung der Flüchtlinge (mit Anhang)
federal,,0.142.392.68,DAA,AAD,AAD,AAD|DAA,Abkommen vom 26. Oktober 2004 zwischen der Schweizerischen Eidgenossenschaft und der Europäischen Gemeinschaft über die Kriterien und Verfahren zur Bestimmung des zuständigen Staates für die Prüfung eines in einem Mitgliedstaat oder in der Schweiz gestellten Asylantrags (mit Schlussakte)
federal,,0.192.110.942.6,EUMETSAT,EUMETSAT,EUMETSAT,EUMETSAT,Protokoll vom 1. Dezember 1986 über die Vorrechte und Immunitäten der Europäischen Organisation für die Nutzung von meteorologischen Satelliten (EUMETSAT)
federal,,0.192.110.978.41,EUTELSAT,EUTELSAT,EUTELSAT,EUTELSAT,Protokoll vom 13. Februar 1987 über die Vorrechte und Immunitäten der Europäischen Fernmeldesatellitenorganisation (EUTELSAT)
federal,,0.211.231.011,HKsÜ,CLaH 96,,CLAH 96|HKSÜ,"Übereinkommen vom 19. Oktober 1996 über die Zuständigkeit, das anzuwendende Recht, die Anerkennung, Vollstreckung und Zusammenarbeit auf dem Gebiet der elterlichen Verantwortung und der Massnahmen zum Schutz von Kindern (Haager Kindesschutzübereinkommen, HKsÜ)"
federal,,0.221.222.32,CMNI,CMNI,CMNI,CMNI,Budapester Übereinkommen vom 22. Juni 2001 über den Vertrag über die Güterbeförderung in der Binnenschifffahrt (CMNI) 
federal,,0.231.151,WCT,WCT,WCT,WCT,WIPO-Urheberrechtsvertrag vom 20. Dezember 1996 (WCT) (mit Erkl.)
federal,,0.231.171.1,WPPT,WPPT,WPPT,WPPT,WIPO-Vertrag vom 20. Dezember 1996 über Darbietungen und Tonträger (WPPT) (mit Erkl.)
federal,,0.232.141.1,PCT,PCT,PCT,PCT,Vertrag vom 19. Juni 1970 über die internationale Zusammenarbeit auf dem Gebiet des Patentwesens (PCT)
federal,,0.232.142.2,EPÜ 2000,CBE 2000,CBE 2000,CBE 2000|EPÜ 2000,"Europäisches Patentübereinkommen vom 5. Oktober 1973, revidiert in München am 29. November 2000 (EPÜ 2000)"
federal,,0.232.142.21,AO EPÜ 2000,RE CBE 2000,RE CBE 2000,AO EPÜ 2000|RE CBE 2000,Ausführungsordnung vom 7. Dezember 2006 zum Europäischen Patentübereinkommen (AO EPÜ 2000) (mit Gebührenordnung) 
federal,,0.275.12,LugÜ,CL,CLug,CL|CLUG|LUGÜ,"Übereinkommen vom 30. Oktober 2007 über die gerichtliche Zuständigkeit und die Anerkennung und Vollstreckung von Entscheidungen in Zivil- und Handelssachen (Lugano-Übereinkommen, LugÜ) (mit Prot. und Anhängen)"
federal,,0.515.08,CWÜ,CAC,CAC,CAC|CWÜ,"Übereinkommen vom 13. Januar 1993 über das Verbot der Entwicklung, Herstellung, Lagerung und des Einsatzes chemischer Waffen und über die Vernichtung solcher Waffen (Chemiewaffenübereinkommen, CWÜ)  (mit Anhängen)"
federal,,0.632.21,GATT,GATT,GATT,GATT,Allgemeines Zoll- und Handelsabkommen (GATT) vom 30. Oktober 1947 (mit  Anlagen und Prot.)
federal,,0.725.11,AGR,AGR,AGR,AGR,Europäisches Übereinkommen vom 15. November 1975 über die Hauptstrassen des internationalen Verkehrs (AGR) (mit Anlagen) 
